id,conferencesInUse,divisionsInUse,pointForOTlossInUse,regulationWinsInUse,rowInUse,standingsEnd,standingsStart,tiesInUse,wildcardInUse
19171918,False,False,False,False,False,1918-03-06,1917-12-19,True,False
19181919,False,False,False,False,False,1919-02-20,1918-12-21,True,False
19191920,False,False,False,False,False,1920-03-13,1919-12-23,True,False
19201921,False,False,False,False,False,1921-03-07,1920-12-22,True,False
19211922,False,False,False,False,False,1922-03-08,1921-12-17,True,False
19221923,False,False,False,False,False,1923-03-05,1922-12-16,True,False
19231924,False,False,False,False,False,1924-03-05,1923-12-15,True,False
19241925,False,False,False,False,False,1925-03-09,1924-11-29,True,False
19251926,False,False,False,False,False,1926-03-17,1925-11-26,True,False
19261927,False,True,False,False,False,1927-03-26,1926-11-16,True,False
19271928,False,True,False,False,False,1928-03-24,1927-11-15,True,False
19281929,False,True,False,False,False,1929-03-17,1928-11-15,True,False
19291930,False,True,False,False,False,1930-03-18,1929-11-14,True,False
19301931,False,True,False,False,False,1931-03-22,1930-11-11,True,False
19311932,False,True,False,False,False,1932-03-22,1931-11-12,True,False
19321933,False,True,False,False,False,1933-03-23,1932-11-10,True,False
19331934,False,True,False,False,False,1934-03-18,1933-11-09,True,False
19341935,False,True,False,False,False,1935-03-19,1934-11-08,True,False
19351936,False,True,False,False,False,1936-03-22,1935-11-07,True,False
19361937,False,True,False,False,False,1937-03-21,1936-11-05,True,False
19371938,False,True,False,False,False,1938-03-20,1937-11-04,True,False
19381939,False,False,False,False,False,1939-03-19,1938-11-03,True,False
19391940,False,False,False,False,False,1940-03-17,1939-11-02,True,False
19401941,False,False,False,False,False,1941-03-18,1940-11-02,True,False
19411942,False,False,False,False,False,1942-03-19,1941-11-01,True,False
19421943,False,False,False,False,False,1943-03-18,1942-10-31,True,False
19431944,False,False,False,False,False,1944-03-19,1943-10-30,True,False
19441945,False,False,False,False,False,1945-03-18,1944-10-28,True,False
19451946,False,False,False,False,False,1946-03-17,1945-10-24,True,False
19461947,False,False,False,False,False,1947-03-23,1946-10-16,True,False
19471948,False,False,False,False,False,1948-03-21,1947-10-15,True,False
19481949,False,False,False,False,False,1949-03-20,1948-10-13,True,False
19491950,False,False,False,False,False,1950-03-26,1949-10-12,True,False
19501951,False,False,False,False,False,1951-03-25,1950-10-11,True,False
19511952,False,False,False,False,False,1952-03-23,1951-10-11,True,False
19521953,False,False,False,False,False,1953-03-22,1952-10-09,True,False
19531954,False,False,False,False,False,1954-03-21,1953-10-08,True,False
19541955,False,False,False,False,False,1955-03-20,1954-10-07,True,False
19551956,False,False,False,False,False,1956-03-18,1955-10-06,True,False
19561957,False,False,False,False,False,1957-03-24,1956-10-11,True,False
19571958,False,False,False,False,False,1958-03-23,1957-10-08,True,False
19581959,False,False,False,False,False,1959-03-22,1958-10-08,True,False
19591960,False,False,False,False,False,1960-03-20,1959-10-07,True,False
19601961,False,False,False,False,False,1961-03-19,1960-10-05,True,False
19611962,False,False,False,False,False,1962-03-25,1961-10-11,True,False
19621963,False,False,False,False,False,1963-03-24,1962-10-10,True,False
19631964,False,False,False,False,False,1964-03-22,1963-10-08,True,False
19641965,False,False,False,False,False,1965-03-28,1964-10-12,True,False
19651966,False,False,False,False,False,1966-04-03,1965-10-23,True,False
19661967,False,False,False,False,False,1967-04-02,1966-10-19,True,False
19671968,False,True,False,False,False,1968-03-31,1967-10-11,True,False
19681969,False,True,False,False,False,1969-03-30,1968-10-11,True,False
19691970,False,True,False,False,False,1970-04-05,1969-10-11,True,False
19701971,False,True,False,False,False,1971-04-04,1970-10-09,True,False
19711972,False,True,False,False,False,1972-04-02,1971-10-08,True,False
19721973,False,True,False,False,False,1973-04-01,1972-10-07,True,False
19731974,False,True,False,False,False,1974-04-07,1973-10-10,True,False
19741975,True,True,False,False,False,1975-04-06,1974-10-09,True,False
19751976,True,True,False,False,False,1976-04-04,1975-10-07,True,False
19761977,True,True,False,False,False,1977-04-03,1976-10-05,True,False
19771978,True,True,False,False,False,1978-04-09,1977-10-12,True,False
19781979,True,True,False,False,False,1979-04-08,1978-10-11,True,False
19791980,True,True,False,False,False,1980-04-06,1979-10-09,True,False
19801981,True,True,False,False,False,1981-04-05,1980-10-09,True,False
19811982,True,True,False,False,False,1982-04-04,1981-10-06,True,False
19821983,True,True,False,False,False,1983-04-03,1982-10-05,True,False
19831984,True,True,False,False,False,1984-04-01,1983-10-04,True,False
19841985,True,True,False,False,False,1985-04-07,1984-10-11,True,False
19851986,True,True,False,False,False,1986-04-06,1985-10-10,True,False
19861987,True,True,False,False,False,1987-04-05,1986-10-09,True,False
19871988,True,True,False,False,False,1988-04-03,1987-10-08,True,False
19881989,True,True,False,False,False,1989-04-02,1988-10-06,True,False
19891990,True,True,False,False,False,1990-04-01,1989-10-05,True,False
19901991,True,True,False,False,False,1991-03-31,1990-10-04,True,False
19911992,True,True,False,False,False,1992-04-16,1991-10-03,True,False
19921993,True,True,False,False,False,1993-04-16,1992-10-06,True,False
19931994,True,True,False,False,False,1994-04-14,1993-10-05,True,False
19941995,True,True,False,False,False,1995-05-03,1995-01-20,True,False
19951996,True,True,False,False,False,1996-04-14,1995-10-06,True,False
19961997,True,True,False,False,False,1997-04-13,1996-10-04,True,False
19971998,True,True,False,False,False,1998-04-19,1997-10-01,True,False
19981999,True,True,False,False,False,1999-04-18,1998-10-09,True,False
19992000,True,True,True,False,False,2000-04-09,1999-10-01,True,False
20002001,True,True,True,False,False,2001-04-08,2000-10-04,True,False
20012002,True,True,True,False,False,2002-04-14,2001-10-03,True,False
20022003,True,True,True,False,False,2003-04-06,2002-10-09,True,False
20032004,True,True,True,False,False,2004-04-04,2003-10-08,True,False
20052006,True,True,True,False,False,2006-04-18,2005-10-05,False,False
20062007,True,True,True,False,False,2007-04-08,2006-10-04,False,False
20072008,True,True,True,False,False,2008-04-06,2007-09-29,False,False
20082009,True,True,True,False,False,2009-04-12,2008-10-04,False,False
20092010,True,True,True,False,False,2010-04-11,2009-10-01,False,False
20102011,True,True,True,False,True,2011-04-10,2010-10-07,False,False
20112012,True,True,True,False,True,2012-04-07,2011-10-06,False,False
20122013,True,True,True,False,True,2013-04-28,2013-01-19,False,False
20132014,True,True,True,False,True,2014-04-13,2013-10-01,False,True
20142015,True,True,True,False,True,2015-04-11,2014-10-08,False,True
20152016,True,True,True,False,True,2016-04-10,2015-10-07,False,True
20162017,True,True,True,False,True,2017-04-09,2016-10-12,False,True
20172018,True,True,True,False,True,2018-04-08,2017-10-04,False,True
20182019,True,True,True,False,True,2019-04-06,2018-10-03,False,True
20192020,True,True,True,True,True,2020-03-11,2019-10-02,False,False
20202021,False,True,True,True,True,2021-05-19,2021-01-13,False,False
20212022,True,True,True,True,True,2022-05-01,2021-10-12,False,True
20222023,True,True,True,True,True,2023-04-14,2022-10-07,False,True
20232024,True,True,True,True,True,2024-04-18,2023-10-10,False,True
20242025,True,True,True,True,True,2025-04-17,2024-10-04,False,True
20252026,True,True,True,True,True,2026-04-17,2025-10-07,False,True
